A,C_KSWCK,C_SAC007,C_SAC022,C_SAC029A,C_SAC041,C_SAC062,C_SAC063,C_SAC065,C_SAC075,C_SAC083,C_SAC093,C_SAC120,C_SAC122,C_SAC148,C_SAC159,C_SAC169,C_SAC185,C_SAC193,C_SAC207,C_SAC217,C_SAC240,C_SAC247,C_SAC257,C_SAC269,C_SAC287,C_YBP002,SP_SAC083_YBP037
1921-10-31,6958.623,10419.857,10626.668,10626.668,14889.678,14679.943,14757.677,11296.683,11370.3545,11408.243,6739.938,6320.8013,6375.4985,6421.129,6432.824,6447.85,7198.573,7208.8022,7201.1567,7793.1177,7549.6675,7776.3433,7698.567,7712.3633,7110.6416,65.282486,0.0
1921-11-30,7006.3022,7963.8687,8296.277,8296.277,12882.343,12357.446,12408.567,10464.069,10456.229,10474.472,7130.247,6535.854,6911.2485,7152.2627,7160.4214,7362.306,7757.4526,7748.9766,7725.3896,8430.789,8016.5977,8029.7827,7939.5254,8272.058,7265.1143,109.246574,0.0
1921-12-31,3250.0,14357.129,12541.643,12541.643,16901.482,15394.651,15438.071,12989.512,12884.848,12429.591,9732.435,7179.772,7711.856,7836.819,7872.586,8109.6396,9027.814,8878.044,8420.58,8385.499,6316.8013,6313.252,6145.59,7174.0454,3576.932,952.4519,0.0
1922-01-31,3250.0,12721.428,12454.688,12454.688,15641.431,15103.097,15145.857,13267.992,13244.636,13144.374,7292.1094,6441.524,6462.653,6564.0054,6566.755,6691.0547,6482.993,6450.8345,6294.2456,6032.474,4937.871,4973.0137,4816.127,5262.548,3589.846,216.63646,0.0
1922-02-28,3250.0,27821.611,23522.617,23522.617,28533.604,27854.37,27898.271,23661.639,23565.479,23076.236,15989.408,15706.228,15408.949,15366.1045,15430.181,15529.513,14824.803,14770.98,13263.249,12484.836,10159.764,10156.913,9772.374,9313.856,3785.9038,3141.37,0.0
1922-03-31,3250.0,19020.846,18703.904,18703.904,22920.656,22209.547,22255.314,20567.857,20625.754,20590.648,10512.148,9942.436,9581.465,9590.338,9592.494,9645.071,9412.878,9399.349,9138.293,8645.533,7123.3335,7118.771,6862.41,6577.3887,3575.2004,323.87906,0.0
1922-04-30,3250.0,14744.993,14916.656,14916.656,18509.186,18300.191,18356.14,14472.292,14561.644,14503.214,7923.637,7792.561,7792.561,7980.4863,7961.959,7988.323,8575.17,8573.188,8218.374,7978.5005,5889.268,6545.6064,6323.9355,6604.633,3459.067,321.61288,0.0
1922-05-31,8827.951,38601.625,38876.793,38876.793,46418.49,46239.71,46318.668,34677.145,35008.574,35464.223,8154.4873,7889.7534,8141.417,8919.961,8948.503,9191.516,11742.126,11766.195,11418.996,12826.692,10679.51,11511.586,11348.534,12155.562,8894.164,327.23868,0.0
1922-06-30,8544.977,27192.72,27785.766,27785.766,33499.414,33352.156,33452.74,23047.314,23371.154,23579.1,4387.296,5001.6284,5258.4165,6076.54,6065.7407,6170.2334,8348.012,8348.752,8037.869,9785.44,8832.466,9956.929,9863.316,10545.837,8481.615,226.97142,0.0
1922-07-31,10672.03,9883.765,10522.25,10522.25,17513.355,17387.588,17497.777,15108.141,15270.211,15473.73,3896.1863,4589.447,4989.921,5892.6074,5908.748,6161.3213,7365.7373,7386.31,7353.1733,9832.697,9724.904,10962.915,10892.201,11270.261,10351.505,267.73932,0.0
1922-08-31,8534.905,10687.071,11160.124,11160.124,18459.896,18292.902,18396.531,14875.34,14989.905,15106.919,4198.3647,4518.2437,4722.7876,5319.8647,5330.534,5447.0586,6297.8047,6310.7256,6325.938,7989.06,7880.544,9013.836,8942.465,8998.305,8310.844,191.4036,0.0
1922-09-30,9523.066,9379.171,9551.543,9551.543,16072.923,15871.421,16024.67,14278.106,14277.61,14124.6455,8027.682,7011.879,7032.742,7156.764,7170.961,7353.1553,8420.374,8435.965,8378.776,9416.465,9308.59,10003.874,9930.076,10020.711,9373.832,237.70087,0.0
1922-10-31,6950.6978,9013.929,9120.272,9120.272,14304.39,14086.203,14203.929,12765.853,12822.091,12813.1875,7339.0176,6753.707,6806.922,6918.7104,6929.504,7012.9883,7854.3633,7833.52,7843.089,8419.559,7971.0913,8056.242,7977.6357,7888.257,7192.6816,91.85774,0.0
1922-11-30,4313.7905,10907.58,10141.546,10141.546,15391.433,14966.224,15017.345,10779.598,10669.345,10254.624,7455.615,5472.9155,5743.619,5912.632,5905.007,6167.312,6927.9443,6799.615,6401.08,6802.191,5767.0586,5780.207,5662.19,6230.428,4593.892,637.9426,0.0
1922-12-31,4130.962,26954.592,24429.371,24429.371,29589.809,27939.379,27982.8,20534.47,20374.621,19490.02,15891.507,12625.363,13082.34,13184.442,13242.626,13489.272,12724.975,12592.655,11498.408,11079.484,8761.508,8760.961,8477.27,8460.061,4487.353,1413.6187,0.0
