,OBJECTID,CalSim_ID,Riv_Mi,Riv_Name,Comment,C2VSIM_GW,C2VSIM_SW,CalSim2_ID,Type,Sub_Type,Nrest_Gage,Strm_Code,RM_II,HR,geometry
0,1.0,EMD001,1.24,Natomas East Main Drainage Canal,Conceptual inflow from RFS22,,,,CH,CNL,,EMD,1.0,SAC,POINT (-121.4928827213304 38.608038104968415)
1,2.0,SAC232,231.83,Sacramento River,Antelope Creek Confluence,079,232,,CH,STM,,SAC,232.0,SAC,POINT (-122.11620987968078 40.08285869921394)
2,3.0,SAC228,228.02,Sacramento River,Elder Creek/Mill Creek Confluences (Elder Creek actually 0.5mi upstream)??,086,236,,CH,STM,,SAC,228.0,SAC,POINT (-122.11806174856052 40.036601245928445)
3,4.0,SAC224,224.0,Sacramento River,Thomes Creek Confluence,094,247,113,CH,STM,,SAC,224.0,SAC,POINT (-122.09530334629746 39.99078135855487)
4,5.0,SAC218,218.23,Sacramento River,Deer Creek Confluence,099,255,,CH,STM,,SAC,218.0,SAC,POINT (-122.0851273206569 39.92152050330563)
5,6.0,SAC214,214.0,Sacramento River,C2VSIM Node,105,260,,CH,STM,,SAC,214.0,SAC,POINT (-122.0628432966276 39.87482319389713)
6,7.0,SAC207,206.55,Sacramento River,Glenn-Colusa Canal Diversion,113,261,114,CH,STM,,SAC,207.0,SAC,POINT (-122.0525681439116 39.802385250981395)
7,8.0,SAC196,195.71,Sacramento River,Big Chico Creek Confluence,129,262,,CH,STM,,SAC,196.0,SAC,POINT (-121.94263260375406 39.69656442924537)
8,9.0,SAC193,192.56,Sacramento River,Stoney Creek Confluence,140,274,115,CH,STM,,SAC,193.0,SAC,POINT (-121.97453686637304 39.67577873243378)
9,10.0,SAC185,185.36,Sacramento River,Closure Term (Ord Ferry) C2VSIM Node (Ord Ferry actually 0.5mi upstream) near USGS Gage - 11388700,,,,CH,SG,11388700 / DWR A0-2570 (ORD),SAC,185.0,SAC,POINT (-121.99208099299841 39.62893866115303)
10,11.0,SAC182,182.0,Sacramento River,C2VSIM Node,155,276,116,CH,STM,,SAC,182.0,SAC,POINT (-121.99912461226789 39.596559112009125)
11,12.0,SAC178,178.0,Sacramento River,C2VSIM Node. Sidds Landing Pump Station.,171,277,117,CH,STM,,SAC,178.0,SAC,POINT (-122.0020169305456 39.553935308611464)
12,13.0,SAC174,174.0,Sacramento River,C2VSIM Node,186,278,,CH,STM,,SAC,174.0,SAC,POINT (-121.99405292502172 39.50839182577015)
13,14.0,SAC168,168.0,Sacramento River,C2VSIM Node (Should probably be located at real RM159.5 [Maxwell Pump Station])??,202,279,122,CH,STM,,SAC,168.0,SAC,POINT (-121.99683160139081 39.44044141934371)
14,15.0,SAC162,162.0,Sacramento River,C2VSIM Node,221,280,123,CH,STM,,SAC,162.0,SAC,POINT (-122.0110547936296 39.36986197970463)
15,16.0,SAC159,159.34,Sacramento River,Maxwell Pump Station - Diversion to 8NS. SACTO R AT MOULTON WEIR (CREST 76.8')',,,124,CH,SG,11389350 / DWR A0-2986 (MLW),SAC,159.0,SAC,POINT (-122.03008113651529 39.339954553352754)
16,17.0,SAC154,154.0,Sacramento River,C2VSIM Node,240,281,,CH,STM,,SAC,154.0,SAC,POINT (-122.01460380181109 39.2886594913749)
17,18.0,SAC141,140.63,Sacramento River,Butte Creek Confluence,262,294,,CH,STM,,SAC,141.0,SAC,POINT (-121.9373872782807 39.193870815642306)
18,19.0,SAC134,134.0,Sacramento River,C2VSIM Node,269,295,,CH,STM,,SAC,134.0,SAC,POINT (-121.93551165767327 39.13083942914627)
19,20.0,SAC129,129.0,Sacramento River,C2VSIM Node,277,296,,CH,STM,,SAC,129.0,SAC,POINT (-121.89168138494587 39.08290030566757)
20,21.0,SAC148,148.0,Sacramento River,Colusa Weir. Colusa Weir Spill to Butte Basin near Colusa.,254,282,,CH,SG,11389470 / DWR A0-2981,SAC,148.0,SAC,POINT (-121.99830274611536 39.232121361624664)
21,22.0,SAC122,121.76,Sacramento River,Tisdale Weir,291,297,126,CH,STM,,SAC,122.0,SAC,POINT (-121.82241497484114 39.02399236170659)
22,23.0,SAC121,120.87,Sacramento River,Diversion to RD108 at Wilkins Slough,,,127,CH,STM,11390500,SAC,121.0,SAC,POINT (-121.82650380213654 39.01245798349568)
23,24.0,SAC115,114.72,Sacramento River,C2VSIM Node (Pelger Pump Station),303,298,128,CH,STM,,SAC,115.0,SAC,POINT (-121.83218356128538 38.96020161751271)
24,25.0,SAC106,106.0,Sacramento River,C2VSIM Node,315,299,129,CH,STM,,SAC,106.0,SAC,POINT (-121.80552718303625 38.89357180720207)
25,26.0,SAC097,97.0,Sacramento River,C2VSIM Node (State Ranch Bend  Pump Station??),327,300,,CH,STM,,SAC,97.0,SAC,POINT (-121.72792711858327 38.852985557731145)
26,27.0,SAC092,92.45,Sacramento River,Gage on Sacramento River at Knights Landing.,339,301,134,CH,SG,11391000 / DWR (KNL),SAC,92.0,SAC,POINT (-121.71500836943073 38.80236986893126)
27,28.0,SAC085,85.49,Sacramento River,Closure Term (Knights Landing [actullay several miles upstream]) Sutter Bypass Return and Yolo Bypass begin (Fremont Weir),349,331,,CH,STM,,SAC,85.0,SAC,POINT (-121.65134297123372 38.76449451808651)
28,29.0,SAC083,82.67,Sacramento River,Feather River Confluence. Schematic indicates spill from here to YBP050 C2VSIM Node.,350,332,160,CH,STM,,SAC,83.0,SAC,POINT (-121.62176144483183 38.784869143642986)
29,30.0,SAC082,81.69,Sacramento River,Cross Canal (includes Auburn Ravine) confluence,351,368,,CH,STM,,SAC,82.0,SAC,POINT (-121.60516407666519 38.779545048647506)
30,31.0,SAC081,81.16,Sacramento River,C2VSIM Node. Sacramento River at Verona. USGS11425500/DWRA02150,363,369,,CH,SG,11425500,SAC,81.0,SAC,POINT (-121.59907355865928 38.77351040260272)
31,32.0,SAC077,77.0,Sacramento River,SRWRS diversion (Future),,,,CH,STM,,SAC,77.0,SAC,POINT (-121.60729882501552 38.71643851638572)
